id, month, coef
1, 1, 1.01
1, 2, 1.54
1, 3, 2.25
1, 4, 2.13
1, 5, 2.98
1, 6, 0.27
1, 7, 2.51
1, 8, 1.58
1, 9, 1.18
1, 10, 0.76
1, 11, 2.81
1, 12, 0.21
2, 1, 2.03
2, 2, 1.11
2, 3, 2.69
2, 4, 0.39
2, 5, 1.8
2, 6, 1.88
2, 7, 2.18
2, 8, 1.21
2, 9, 0.03
2, 10, 1.93
2, 11, 0.48
2, 12, 2.69
3, 1, 2.95
3, 2, 1.88
3, 3, 2.35
3, 4, 0.84
3, 5, 2.16
3, 6, 0.65
3, 7, 1.42
3, 8, 0.37
3, 9, 0.43
3, 10, 0.58
3, 11, 0.91
3, 12, 1.7
4, 1, 0.27
4, 2, 0.01
4, 3, 1.14
4, 4, 2.01
4, 5, 1.88
4, 6, 0.85
4, 7, 0.51
4, 8, 0.65
4, 9, 2.82
4, 10, 0.78
4, 11, 0.48
4, 12, 1.95
5, 1, 0.81
5, 2, 0.71
5, 3, 1.23
5, 4, 2.2
5, 5, 1.33
5, 6, 2.15
5, 7, 1.47
5, 8, 1.35
5, 9, 1.23
5, 10, 1.61
5, 11, 0.44
5, 12, 2.21
6, 1, 0.44
6, 2, 1.43
6, 3, 1.94
6, 4, 2.53
6, 5, 2.71
6, 6, 2.01
6, 7, 1.31
6, 8, 2.82
6, 9, 1.36
6, 10, 1.56
6, 11, 2.36
6, 12, 0.01
7, 1, 0.98
7, 2, 0.38
7, 3, 1.15
7, 4, 1.77
7, 5, 2.31
7, 6, 2.88
7, 7, 1.04
7, 8, 0.96
7, 9, 0.53
7, 10, 1.95
7, 11, 2.38
7, 12, 0.44
8, 1, 1.71
8, 2, 0.83
8, 3, 1.01
8, 4, 2.2
8, 5, 2.58
8, 6, 2.42
8, 7, 2.67
8, 8, 0.68
8, 9, 2.91
8, 10, 1.14
8, 11, 0.68
8, 12, 1.96
9, 1, 0.13
9, 2, 2.9
9, 3, 1.95
9, 4, 2.07
9, 5, 2.64
9, 6, 1.74
9, 7, 0.36
9, 8, 0.73
9, 9, 1.71
9, 10, 1.88
9, 11, 0.39
9, 12, 1.4
10, 1, 0.05
10, 2, 0.4
10, 3, 2.71
10, 4, 1.86
10, 5, 1.68
10, 6, 2.63
10, 7, 0.26
10, 8, 0.61
10, 9, 0.79
10, 10, 2.51
10, 11, 2.3
10, 12, 1.75
