id, date, sales, stock
1, 2024-03-07, 14, 97
2, 2024-03-07, 8, 1
3, 2024-03-07, 13, 67
4, 2024-03-07, 10, 24
5, 2024-03-07, 9, 27
6, 2024-03-07, 13, 44
7, 2024-03-07, 12, 83
8, 2024-03-07, 5, 12
9, 2024-03-07, 10, 34
10, 2024-03-07, 11, 31
1, 2024-03-06, 8, 78
2, 2024-03-06, 5, 51
3, 2024-03-06, 0, 85
4, 2024-03-06, 13, 5
5, 2024-03-06, 18, 58
6, 2024-03-06, 9, 75
7, 2024-03-06, 15, 12
8, 2024-03-06, 11, 23
9, 2024-03-06, 12, 66
10, 2024-03-06, 16, 55
1, 2024-03-05, 11, 91
2, 2024-03-05, 17, 86
3, 2024-03-05, 15, 2
4, 2024-03-05, 18, 52
5, 2024-03-05, 4, 63
6, 2024-03-05, 7, 54
7, 2024-03-05, 6, 26
8, 2024-03-05, 3, 97
9, 2024-03-05, 14, 70
10, 2024-03-05, 10, 15
1, 2024-03-04, 2, 74
2, 2024-03-04, 12, 3
3, 2024-03-04, 19, 96
4, 2024-03-04, 19, 58
5, 2024-03-04, 15, 68
6, 2024-03-04, 6, 60
7, 2024-03-04, 14, 37
8, 2024-03-04, 17, 30
9, 2024-03-04, 10, 85
10, 2024-03-04, 0, 65
1, 2024-03-03, 15, 82
2, 2024-03-03, 1, 0
3, 2024-03-03, 0, 4
4, 2024-03-03, 12, 44
5, 2024-03-03, 5, 35
6, 2024-03-03, 5, 54
7, 2024-03-03, 17, 74
8, 2024-03-03, 11, 34
9, 2024-03-03, 15, 74
10, 2024-03-03, 19, 68
1, 2024-03-02, 13, 33
2, 2024-03-02, 18, 93
3, 2024-03-02, 3, 94
4, 2024-03-02, 10, 15
5, 2024-03-02, 5, 37
6, 2024-03-02, 6, 26
7, 2024-03-02, 16, 25
8, 2024-03-02, 6, 94
9, 2024-03-02, 12, 26
10, 2024-03-02, 4, 76
1, 2024-03-01, 1, 86
2, 2024-03-01, 1, 2
3, 2024-03-01, 16, 66
4, 2024-03-01, 15, 84
5, 2024-03-01, 16, 10
6, 2024-03-01, 10, 67
7, 2024-03-01, 10, 77
8, 2024-03-01, 11, 75
9, 2024-03-01, 18, 37
10, 2024-03-01, 17, 46
1, 2024-02-29, 4, 51
2, 2024-02-29, 7, 79
3, 2024-02-29, 1, 0
4, 2024-02-29, 0, 49
5, 2024-02-29, 9, 48
6, 2024-02-29, 3, 64
7, 2024-02-29, 2, 0
8, 2024-02-29, 16, 20
9, 2024-02-29, 13, 26
10, 2024-02-29, 19, 23
1, 2024-02-28, 9, 60
2, 2024-02-28, 17, 36
3, 2024-02-28, 19, 31
4, 2024-02-28, 3, 24
5, 2024-02-28, 1, 2
6, 2024-02-28, 18, 62
7, 2024-02-28, 1, 70
8, 2024-02-28, 5, 89
